N;Endereço;Ebionita;Brit Hadasha Netzari;BJ;ACF;ARC;BRP;SBP;RCS;ARA;AKJ;TIS;NA28;PEH;PHA;PYP
1;Mat 1:1;Estas são as gerações de Yeshua, filho de David, filho de Avraham.;Livro da genealogia de Yeshua HaMashiach, filho de David, filho de Avraham.;Livro da origem de Jesus Cristo, filho de Davi, filho de Abraão:; LIVRO da geração de Jesus Cristo, filho de Davi, filho de Abraão.; Livro da geração de Jesus Cristo, Filho de Davi, Filho de Abraão.; Livro da geraçäo de Jesus Cristo, filho de Davi, filho de Abraäo.; Esta é a lista dos antepassados de Jesus Cristo, filho de David, filho de Abraäo.; Esta é a lista dos antepassados de Jesus Cristo, filho de David, filho de Abraão. ; Livro da genealogia de Jesus Cristo, filho de Davi, filho de Abraão.; Livro da genealogia de Jesus Cristo, Filho de Davi, Filho de Abraão:; Βίβλος γενέσεως Ἰησοῦ Χριστοῦ υἱοῦ Δαυεὶδ υἱοῦ Ἀβραάμ.; Βίβλος γενέσεως Ἰησοῦ Χριστοῦ υἱοῦ Δαυὶδ υἱοῦ Ἀβραάμ.;כתבא דילידותה דישׁוע משׁיחא ברה דדויד ברה דאברהם;כּתָ̅בָ̅א דִּילִידֻ̅ותֵ̅ה דּ֣יֵשֻׁוע משִׁיחָא֑ בּרֵה דּ֣דַ̅וִיד֖̅ בּרֵה דַּ֣אב̅רָהָם סס ;  Mhrb0d  hrb  dywdd  hrb  0xy4m  (w4yd  htwdylyd  0btk  
2;Mat 1:2;"Avraham gerou a Yitz'chak; e Yitz'chak gerou a Ya'akov; e Ya'akov gerou a Yehudá e seus irmãos;";"A Avraham nasceu Yitz'chak; a Yitz'chak nasceu Ya'akov; a Ya'akov nasceram Yehudah e seus irmãos;";Abraão gerou Isaac, Isaac gerou Jacó, Jacó gerou Judá e seus irmãos,;" Abraão gerou a Isaque; e Isaque gerou a Jacó; e Jacó gerou a Judá e a seus irmãos;"; Abraão gerou a Isaque, e Isaque gerou a Jacó, e Jacó gerou a Judá e a seus irmãos,;" Abraäo gerou a Isaque; e Isaque gerou a Jacó; e Jacó gerou a Judá e a seus irmäos;"; Abraäo foi pai de Isaac, Isaac foi pai de Jacob e Jacob foi pai de Judá e dos seus irmäos.;Abraão foi pai de Isaac, Isaac foi pai de Jacob e Jacob foi pai de Judá e dos seus irmãos.;" Abraão gerou a Isaque; Isaque, a Jacó; Jacó, a Judá e a seus irmãos;"; Abraão gerou Isaque, Isaque gerou Jacó, Jacó gerou Judá e seus irmãos,; Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ, Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ, Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ,; Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ, Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ, Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ,;אברהם אולד לאיסחק איסחק אולד ליעקוב יעקוב אולד ליהודא ולאחוהי;אַ֣ב̅רָהָם אַולֵד̅ לִ֣איסחָק֖ אִ֣יסחָק אַולֵד̅ ל֣יַעקֻוב֖̅ יַ֣עקֻוב̅ אַולֵד̅ לִ֣יהֻודָ̅א ולַאחַוה֗י֖֞ ;  Yhwx0lw  0dwhyl  dlw0  Bwq9y  Bwq9yl  dlw0  Qxsy0  Qxsy0l  dlw0  Mhrb0  
3;Mat 1:3;"Yehudá gerou a Peretz e a Zerach, de Tamar; Peretz gerou a Hetzron; Hetzron gerou a Ram;";"a Yehudah nasceram, de Tamar, Peretz e Zerach; a Peretz nasceu Chetzron; a Chetzron nasceu Ram;";Judá gerou Farés e Zara, de Tamar, Farés gerou Esrom, Esrom gerou Aram,;" E Judá gerou, de Tamar, a Perez e a Zerá; e Perez gerou a Esrom; e Esrom gerou a Arão;"; e Judá gerou de Tamar a Perez e a Zerá, e Perez gerou a Esrom, e Esrom gerou a Arão.;" E Judá gerou, de Tamar, a Perez e a Zerá; e Perez gerou a Esrom; e Esrom gerou a Aräo;"; Judá foi pai de Peres e de Zera, sendo a mäe Tamar. Peres foi pai de Hesron e Hesron foi pai de Rame.;Judá foi pai de Peres e de Zera, sendo a mãe Tamar. Peres foi pai de Hesron e Hesron foi pai de Rame.;" Judá gerou de Tamar a Perez e a Zera; Perez gerou a Esrom; Esrom, a Arão;";" Judá gerou Perez e Zera, de Tamar; Perez gerou Esrom; Esrom gerou Arão."; Ἰούδας δὲ ἐγέννησεν τὸν Φάρες καὶ τὸν Ζάρα ἐκ τῆς Θαμάρ, Φάρες δὲ ἐγέννησεν τὸν Ἑσρώμ, Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ,; Ἰούδας δὲ ἐγέννησεν τὸν Φάρες καὶ τὸν Ζάρα ἐκ τῆς Θαμάρ, Φάρες δὲ ἐγέννησεν τὸν Ἑσρώμ, Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ,;יהודא אולד לפרץ ולזרח מן תמר פרץ אולד לחצרון חצרון אולד לארם;יִ֣הֻודָ̅א אַולֵד̅ ל֣פַ̅רץ וַל֣זַרח מֵן תָּ֣מָר֖ פַּ֣רץ אַולֵד̅ ל֣חֵצרָו֖ן חֵ֣צרֻון אַולֵד̅ לָ֣ארָם֖ ;  Mr0l  dlw0  Jwrcx  Jwrcxl  dlw0  crp  rmt  Nm  Xrzlw  crpl  dlw0  0dwhy  
4;Mat 1:4;"E Ram gerou a Aminadav; e Aminadav gerou a Nachshon; e Nachshon gerou a Salmom;";"a Ram nasceu Amminadav; a Amminadav nasceu Nachson; a Nachson nasceu Salmom;";Aram gerou Aminadab, Aminadab gerou Naasson, Naasson gerou Salmon,;" E Arão gerou a Aminadabe; e Aminadabe gerou a Naassom; e Naassom gerou a Salmom;"; Arão gerou a Aminadabe, e Aminadabe gerou a Naassom, e Naassom gerou a Salmom,;" E Aräo gerou a Aminadabe; e Aminadabe gerou a Naassom; e Naassom gerou a Salmom;"; Rame foi pai de Aminadab, Aminadab foi pai de Nachon e Nachon foi pai de Salmon.;Rame foi pai de Aminadab, Aminadab foi pai de Nachon e Nachon foi pai de Salmon.;" Arão gerou a Aminadabe; Aminadabe, a Naassom; Naassom, a Salmom;";" Arão gerou Aminadabe; Aminadabe gerou Naassom; Naassom gerou Salmom,"; Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ, Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών, Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών,; Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ, Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών, Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών,;ארם אולד לעמינדב עמינדב אולד לנחשׁון נחשׁון אולד לסלמון;אָ֣רָם אַולֵד̅ ל֣עַמִינָדָ̅ב֖̅ עַ֣מִינָדָ̅ב̅ אַולֵד̅ ל֣נַחשָׁו֖ן נַ֣חשֻׁון אַולֵד̅ ל֣סַלמָון֖ ;  Jwmlsl  dlw0  Jw4xn  Jw4xnl  dlw0  Bdnym9  Bdnym9l  dlw0  Mr0  
5;Mat 1:5;"Salmom gerou a Bo'az, de Rachav a prostituta; Bo'az gerou a Oved, de Rut; e Oved gerou a Yishai;";"a Salmom nasceu, de Rachav, Bo'az; a Bo'az nasceu, de Rut, Oved; a Oved nasceu Yishai;";Salmon gerou Booz, de Raab, Booz gerou Jobed, de Rute, Jobed gerou Jessé,;" E Salmom gerou, de Raabe, a Boaz; e Boaz gerou de Rute a Obede; e Obede gerou a Jessé;"; e Salmom gerou de Raabe a Boaz, e Boaz gerou de Rute a Obede, e Obede gerou a Jessé.;" E Salmom gerou, de Raabe, a Boaz; e Boaz gerou de Rute a Obede; e Obede gerou a Jessé;"; Salmon foi pai de Booz, sendo a mäe Raab. Booz foi pai de Obed, sendo a mäe Rute. Obed foi pai de Jessé;Salmon foi pai de Booz, sendo a mãe Raab. Booz foi pai de Obed, sendo a mãe Rute. Obed foi pai de Jessé;" Salmom gerou de Raabe a Boaz; este, de Rute, gerou a Obede; e Obede, a Jessé;";" Salmom gerou Boaz, de Raabe, e Boaz gerou Obede, de Rute; Obede gerou a Jessé."; Σαλμὼν δὲ ἐγέννησεν τὸν Βόες ἐκ τῆς Ῥαχάβ, Βόες δὲ ἐγέννησεν τὸν Ἰωβὴδ ἐκ τῆς Ῥούθ, Ἰωβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί,; Σαλμὼν δὲ ἐγέννησεν τὸν Βόες ἐκ τῆς Ῥαχάβ, Βόες δὲ ἐγέννησεν τὸν Ἰωβὴδ ἐκ τῆς Ῥούθ, Ἰωβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί,;סלמון אולד לבעז מן רחב בעז אולד לעוביד מן רעות עוביד אולד לאישׁי;סַ֣למָון אַולֵד̅ ל֣בָ̅עָז מֵן רָ֣חָב֖̅ בָּ֣עָז אַולֵד̅ ל֣עֻובִ̅יד̅ מֵן רָ֣עֻות֖̅ עֻ֣ובִ̅יד̅ אַולֵד̅ לִ֣אישַׁי֖ ;  Y4y0l  dlw0  dybw9  tw9r  Nm  dybw9l  dlw0  z9b  Bxr  Nm  z9bl  dlw0  Jwmls  
6;Mat 1:6;"Yishai gerou a David; David gerou de sua mulher a Sh'lomoh; da que era esposa de Uriyah.";"e a Yishai nasceu o rei David. A David nasceu Shlomo da que fora mulher de Uriyah;";Jessé gerou o rei Davi. Davi gerou Salomão, daquela que foi mulher de Urias,;" E Jessé gerou ao rei Davi; e o rei Davi gerou a Salomão da que foi mulher de Urias."; Jessé gerou ao rei Davi, e o rei Davi gerou a Salomão da que foi mulher de Urias.;" E Jessé gerou ao rei Davi; e o rei Davi gerou a Salomäo da que foi mulher de Urias."; e Jessé foi pai do rei David. David foi pai de Salomäo, sendo a mäe a que foi mulher de Urias.;e Jessé foi pai do rei David. David foi pai de Salomão, sendo a mãe a que foi mulher de Urias.;" Jessé gerou ao rei Davi; e o rei Davi, a Salomão, da que fora mulher de Urias;";" Jessé gerou o rei Davi, e o rei Davi gerou a Salomão, daquela que foi mulher deUrias;"; Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυεὶδ τὸν βασιλέα. Δαυεὶδ δὲ ἐγέννησεν τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου,; Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυὶδ τὸν βασιλέα. Δαυὶδ δὲ ἐγέννησεν τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου,;אישׁי אולד לדויד מלכא דויד אולד לשׁלימון מן אנתתה דאוריא;אִ֣ישַׁי אַולֵד̅ ל֣דַ̅וִיד̅ מַלכָּא֖ דַּ֣וִיד̅ אַולֵד̅ לַ֣שׁלֵימָון מֵן אַנ֗תּתֵ̅ה דֻּ֣אורִיָא֖ ;  0yrw0d  httn0  Nm  Jwmyl4l  dlw0  dywd  0klm  dywdl  dlw0  Y4y0  
7;Mat 1:7;"Sh'lomoh gerou a Rechav'am; Rechav'am gerou a Aviyah; Aviyah gerou a Asa;";"a Shlomo nasceu Rechav'am; a Rechav'am nasceu Aviyah; a Aviyah nasceu Asa;";Salomão gerou Roboão, Roboão gerou Abias, Abias gerou Asa,;" E Salomão gerou a Roboão; e Roboão gerou a Abias; e Abias gerou a Asa;"; Salomão gerou a Roboão, e Roboão gerou a Abias, e Abias gerou a Asa,;" E Salomäo gerou a Roboäo; e Roboäo gerou a Abias; e Abias gerou a Asa;"; Salomäo foi pai de Roboäo, Roboäo foi pai de Abias e Abias foi pai de Asa.;Salomão foi pai de Roboão, Roboão foi pai de Abias e Abias foi pai de Asa.;" Salomão gerou a Roboão; Roboão, a Abias; Abias, a Asa;";" Salomão gerou Roboão; Roboão gerou Abias; Abias gerou Asa,"; Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ, Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά, Ἀβιὰ δὲ ἐγέννησεν τὸν Ἀσάφ,; Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ, Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά, Ἀβιὰ δὲ ἐγέννησεν τὸν Ἀσάφ,;שׁלימון אולד לרחבעם רחבעם אולד לאביא אביא אולד לאסא;שׁ֣לֵימֻון אַולֵד̅ לַ֣רחַב̅עַם֖ ר֣חַב̅עַם אַולֵד̅ לַ֣אבִ̅יָא֖ אַ֣בִ̅יָא אַולֵד̅ לָ֣אסָא֖ ;  0s0l  dlw0  0yb0  0yb0l  dlw0  M9bxr  M9bxrl  dlw0  Jwmyl4  
8;Mat 1:8;"Asa gerou a Yehoshafat; Yehoshafat gerou a Yehoram; Yehoram gerou a Uziyahu;";"a Asa nasceu Y'hoshafat; a Y'hoshafat nasceu Y'horam; a Y'horam nasceu Uziyahu;";Asa gerou Josafá, Josafá gerou Jorão, Jorão gerou Ozias,;" E Asa gerou a Josafá; e Josafá gerou a Jorão; e Jorão gerou a Uzias;"; e Asa gerou a Josafá, e Josafá gerou a Jorão, e Jorão gerou a Uzias,;" E Asa gerou a Josafá; e Josafá gerou a Joräo; e Joräo gerou a Uzias;"; Asa foi pai de Josafat, Josafat foi pai de Joräo e Joräo foi pai de Uzias.;Asa foi pai de Josafat, Josafat foi pai de Jorão e Jorão foi pai de Uzias.;" Asa gerou a Josafá; Josafá, a Jorão; Jorão, a Uzias;";" Asa gerou Josafá; Josafá gerou Jorão; Jorão gerou Uzias;"; Ἀσὰφ δὲ ἐγέννησεν τὸν Ἰωσαφάτ, Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ, Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζείαν,; Ἀσὰφ δὲ ἐγέννησεν τὸν Ἰωσαφάτ, Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ, Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζίαν,;אסא אולד ליהושׁפט יהושׁפט אולד ליורם יורם אולד לעוזיא;אָ֣סָא אַולֵד̅ ל֣יָהֻושָׁפָ̅ט֖ יָ֣הֻושָׁפָ̅ט אַולֵד̅ ל֣יֻורָם֖ יֻ֣ורָם אַולֵד̅ ל֣עֻוזִיָא֖ ;  0yzw9l  dlw0  Mrwy  Mrwyl  dlw0  +p4why  +p4whyl  dlw0  0s0  
9;Mat 1:9;"Uziyahu gerou a Yotam; Yotam gerou a Achaz; Achaz gerou a Hizkiyahu;";"a Uziyahu nasceu Yotam; a Yotam nasceu Achaz; a Achaz nasceu Chizkiyahu;";Ozias gerou Joatão, Joatão gerou Acaz, Acaz gerou Ezequias, ;" E Uzias gerou a Jotão; e Jotão gerou a Acaz; e Acaz gerou a Ezequias;"; e Uzias gerou a Jotão, e Jotão gerou a Acaz, e Acaz gerou a Ezequias.;" E Uzias gerou a Jotäo; e Jotäo gerou a Acaz; e Acaz gerou a Ezequias;"; Uzias foi pai de Jotam, Jotam foi pai de Acaz e Acaz foi pai de Ezequias.;Uzias foi pai de Jotam, Jotam foi pai de Acaz e Acaz foi pai de Ezequias.;" Uzias gerou a Jotão; Jotão, a Acaz; Acaz, a Ezequias;";" Uzias gerou Jotão; Jotão gerou Acaz; Acaz gerou Ezequias;"; Ὀζείας δὲ ἐγέννησεν τὸν Ἰωαθάμ, Ἰωαθὰμ δὲ ἐγέννησεν τὸν Ἀχάζ, Ἀχὰζ δὲ ἐγέννησεν τὸν Ἑζεκίαν,; Ὀζίας δὲ ἐγέννησεν τὸν Ἰωαθάμ, Ἰωαθὰμ δὲ ἐγέννησεν τὸν Ἀχάζ, Ἀχὰζ δὲ ἐγέννησεν τὸν Ἑζεκίαν,;עוזיא אולד ליותם יותם אולד לאחז אחז אולד לחזקיא;עֻ֣וזִיָא אַולֵד̅ ל֣יֻותָ̅ם֖ יֻ֣ותָ̅ם אַולֵד̅ לָ֣אחָז֖ אָ֣חָז אַולֵד̅ ל֣חֵזַקיָא֖ ;  0yqzxl  dlw0  zx0  zx0l  dlw0  Mtwy  Mtwyl  dlw0  0yzw9  
10;Mat 1:10;"Hizkiyahu gerou a Menasheh; Menasheh gerou a Amon; Amon gerou a Yoshiyahu;";"a Chizkiyahu nasceu M'nasheh; a M'nasheh nasceu Ammon; a Ammon nasceu Yoshiyahu;";Ezequias gerou Manassés, Manassés gerou Amon. Amon gerou Josias,;" E Ezequias gerou a Manassés; e Manassés gerou a Amom; e Amom gerou a Josias;"; Ezequias gerou a Manassés, e Manassés gerou a Amom, e Amom gerou a Josias,;" E Ezequias gerou a Manassés; e Manassés gerou a Amom; e Amom gerou a Josias;"; Ezequias foi pai de Manassés, Manassés foi pai de Amon e Amon foi pai de Josias.;Ezequias foi pai de Manassés, Manassés foi pai de Amon e Amon foi pai de Josias.;" Ezequias gerou a Manassés; Manassés, a Amom; Amom, a Josias;";" Ezequias gerou Manassés; Manassés gerou Amom; Amom gerou Josias;"; Ἑζεκίας δὲ ἐγέννησεν τὸν Μανασσῆ, Μανασσῆς δὲ ἐγέννησεν τὸν Ἀμώς, Ἀμὼς δὲ ἐγέννησεν τὸν Ἰωσείαν,; Ἑζεκίας δὲ ἐγέννησεν τὸν Μανασσῆ, Μανασσῆς δὲ ἐγέννησεν τὸν Ἀμώς, Ἀμὼς δὲ ἐγέννησεν τὸν Ἰωσίαν,;חזקיא אולד למנשׁא מנשׁא אולד לאמון אמון אולד ליושׁיא;חֵ֣זַקיָא אַולֵד̅ לַ֣מנַשֵׁא֖ מ֣נַשֵׁא אַולֵד̅ לַ֣אמֻו֖ן אַ֣מֻון אַולֵד̅ ל֣יֻושִׁיָא֖ ;  0y4wyl  dlw0  Jwm0  Jwm0l  dlw0  04nm  04nml  dlw0  0yqzx  
